fund_name,charge_ongoing,management,fee
HCM Defender 100 Index ETF,,0.77,
HCM Defender 500 Index ETF,,0.77,
iMGP DBi Managed Futures Strategy ETF,,0.85,
Impact Shares NAACP Minority Empowerment ETF,,0.49,
Inspire International ETF,,0.45,
Inspire SmalllMid Cap ETF,,0.30,
Invesco Aerospace & Defense ETF,,0.50,
Invesco Building & Construction ETF,,0.50,
Invesco DB Commodity Index Tracking Fund,,0.85,
Invesco Dow Jones Industrial Average Dividend ETF,,0.07,
Invesco Energy Exploration & Production ETF,,0.50,
Invesco India ETF,,0.78,
Invesco Large Cap Growth ETF,,0.50,
Invesco Large Cap Value ETF,,0.50,
Invesco Next Gen Connectivity ETF,,0.40,
Invesco Pharmaceuticals ETF,,0.50,
Invesco RAFI Developed Markets ex-U.S. ETF,,0.45,
Invesco RAFI Emerging Markets ETF,,0.49,
Invesco RAFI US 1000 ETF,,0.29,
Invesco Russell 1000 Equal Weight ETF,,0.20,
Invesco S&P 100 Equal Weight ETF,,0.25,
Invesco S&P 500 GARP ETF,,0.29,
Invesco S&P 500 Revenue ETF,,0.39,
Invesco S&P 500 Value with Momentum ETF,,0.29,
Invesco s&P 500@ Enhanced Value ETF,,0.13,
Invesco S&P 500@ Equal Weight Energy ETF,,0.40,
Invesco s&P 500@ Equal Weight Financials ETF,,0.40,
Invesco s&P 500@ Equal Weight Industrials ETF,,0.40,
Invesco S&P 5000 Equal Weight Technology ETF,,0.40,
Invesco s&P 500@ Equal Weight Utilities ETF,,0.40,
Invesco S&P 5000 High Beta ETF,,0.25,
Invesco S&P 500@ Momentum ETF,,0.13,
Invesco S&P 500@ Pure Value ETF,,0.35,
Invesco S&P 500@ Quality ETF,,0.15,
Invesco S&P 500@ Top 50 ETF,,0.20,
Invesco S&P Emerging Markets Low Volatility ETF,,0.29,
Invesco S&P Global Water Index ETF,,0.50,
Invesco S&P International Developed Momentum ETF,,0.25,
Invesco S&P MidCap 400 Revenue ETF,,0.39,
